station_name,zip,city,latitude,longitude,open_date,nearest_dist1,nearest_dist2,is_far1,is_far2,is_really_far
INSIGNIA 953 95 96,98121,Seattle,47.616701,-122.34281299999999,,0.0018886304132462938,0.0023092495523591265,0,0,0
CBRE1 URBAN COM #3,98033,Kirkland,47.6779,-122.19943,,0.002174977695252319,0.00235833296576807,0,0,0
DUAL EV STATION 4,98105,Seattle,47.663931,-122.300224,,0.002230378606145096,0.0023655714561967,0,0,0
INSIGNIA 953 134 135,98121,Seattle,47.616676,-122.342772,,0.0022258659371967708,0.002450775534749216,0,0,0
DAY 1 REINVENT5,98121,Seattle,47.616654,-122.33888799999998,,0.0010952206100805907,0.00251886619310308,0,0,0
INSIGNIA 953 140 141,98121,Seattle,47.616616,-122.342831,,0.0022782241190192334,0.002528344824930335,0,0,0
INSIGNIA 953 142 143,98121,Seattle,47.616646,-122.3428,,0.002450775534749216,0.002528344824930335,0,0,0
KOHLS VANCOUVER 2,98684,Vancouver,45.61618,-122.497689,,0.0016052880662268596,0.00254029377110631,0,0,0
INSIGNIA 953 154N,98164,Seattle,47.606215999999996,-122.332029,,0.001262925379351494,0.0025716285616157724,0,0,0
DAY 1 REDMOND 7,98052,Redmond,47.672452,-122.094822,,0.0005086043025710956,0.0025873471660929834,0,0,0
INSIGNIA 953 97 98,98121,Seattle,47.616729,-122.342786,,0.0023092495523591265,0.0025918593722183076,0,0,0
INSIGNIA 953 136 137,98121,Seattle,47.616703,-122.34274599999999,,0.0022258659371967708,0.0025918593722183076,0,0,0
DC CORRIDOR PAC SCI CENTER,98109,Seattle,47.619058,-122.352428,,0.0020564175571296164,0.0026660746220096444,0,0,0
DC CORRIDOR PAC SCI L2,98109,Seattle,47.619056,-122.35237099999999,,0.0006416307339022887,0.0026660746220096444,0,0,0
INSIGNIA 953 EV216,98121,Seattle,47.616571,-122.342673,,0.0015606005119640836,0.0026885232909246307,0,0,0
MADISON MARQUET STATION 7,98101,Seattle,47.612442,-122.335302,,0.0014949207556578597,0.0026910764117274843,0,0,0
DEPT OF ECOLOGY HQ 2,98516,Lacey,47.047793,-122.806523,,0.0024219087359103816,0.002788856935833344,0,0,0
DUAL EV STATION 2,98105,Seattle,47.663934999999995,-122.300285,,0.0012008383476328922,0.002829274094093222,0,0,0
CAPITAL GATEWAY STATION 2,98501,Olympia,47.035865,-122.89469199999999,,0.002225623845820333,0.002837008342706481,0,0,0
INSIGNIA 953 180 181,98121,Seattle,47.616608,-122.342771,,0.0018735692504677258,0.0028567271735211418,0,0,0
INSIGNIA 953 101 102,98121,Seattle,47.616655,-122.34286000000002,,0.001975720500776068,0.0028708913413954197,0,0,0
ILANI 3B-3 SINGLE,98642,Ridgefield,45.853138,-122.70895,,0.0021908378314890236,0.0028889451169688556,0,0,0
UDR CHARGER 1,98004,Bellevue,47.61868,-122.19182099999999,,0.0019349719023160398,0.002903846632605762,0,0,0
UDR CHARGER 3,98004,Bellevue,47.618669,-122.19176100000001,,0.0022258412998054007,0.002903846632605762,0,0,0
KEY CENTER STATION 1,98004,Bellevue,47.616101,-122.19689299999999,,0.0012631421045484618,0.0029049866408794984,0,0,0
CBRE1 URBAN COM #4,98033,Kirkland,47.677895,-122.19948000000001,,0.00235833296576807,0.002919653928418259,0,0,0
INSIGNIA 953 174 175,98121,Seattle,47.616642,-122.34273,,0.002615705882514905,0.003030752834010132,0,0,0
STADIUMPLACE NEW STATION 4,98104,Seattle,47.597578000000006,-122.33270700000001,,0.0017886122623078148,0.0030671690059067918,0,0,0
DAY 1 REINVENT6,98121,Seattle,47.616632,-122.33894199999999,,0.002944987094778689,0.0030828995598149327,0,0,0
DAY 1 REINVENT7,98121,Seattle,47.616640000000004,-122.338877,,0.0010952206100805907,0.003086206608487539,0,0,0
KGIP BELL SOUTH STATION 1,98114,Bellevue,47.612660999999996,-122.185158,,0.0015093461097174007,0.003100456899825161,0,0,0
KEY CENTER KEY CENTER 6,98004,Bellevue,47.616104,-122.19696,,0.0018888448025700469,0.0031366268253667207,0,0,0
Kohl’s - Vancouver SE,98684,Vancouver,45.616146,-122.49766899999999,2019-08-19,0.00254029377110631,0.003176578233233432,0,0,0
KOHLS VANCOUVER 1,98684,Vancouver,45.616174,-122.497721,,0.0016052880662268596,0.003176578233233432,0,0,0
COMMUNITY HOUSE COMMUNITY #2,98405,Tacoma,47.24889,-122.453156,,0.0029683246684171797,0.0031838466917471176,0,0,0
PERMANENTE KPP #3,98374,Puyallup,47.155403,-122.28066000000001,,0.0032124394706942853,0.003246771367911941,0,0,0
INSIGNIA 953 176 177,98121,Seattle,47.616671000000004,-122.342694,,0.002615705882514905,0.0032844607005812656,0,0,0
KEY CENTER KEY CENTER 4,98004,Bellevue,47.616143,-122.19689,,0.0029049866408794984,0.003284645245530887,0,0,0
DAY 1 REINVENT2,98121,Seattle,47.616712,-122.33906999999999,,0.003234806706977769,0.0032911116393402546,0,0,0
BELLEVUE SQUARE BELL SQ WEST #4,98004,Bellevue,47.615943,-122.205532,,0.0013848713268183005,0.003316448293602342,0,0,0
BELLEVUE SQUARE BELL SQ WEST #3,98004,Bellevue,47.615990999999994,-122.205533,,0.0031865191518428383,0.003316448293602342,0,0,0
TPU TPU HQ #5,98409,Tacoma,47.228587,-122.484155,,0.003366664017599719,0.0033881090876161602,0,0,0
SOUND TRANSIT ANGLE LAKE #4,98198,Seatac,47.42327,-122.29871899999999,,0.0015198366957791657,0.003390281755882718,0,0,0
INSIGNIA 953 212 213,98121,Seattle,47.616588,-122.342651,,0.0015606005119640836,0.00339329704895739,0,0,0
MADISON MARQUET STATION 3,98101,Seattle,47.612514000000004,-122.335173,,0.0018090043218678636,0.0033956911655307767,0,0,0
CAPITAL GATEWAY STATION 7,98501,Olympia,47.035837,-122.89496299999999,,0.0030395864638396793,0.0034115807545045166,0,0,0
CAPITAL GATEWAY STATION 6,98501,Olympia,47.035841,-122.89503500000001,,0.002884181995481349,0.0034115807545045166,0,0,0
TPU TPU HQ #6,98409,Tacoma,47.228593,-122.484226,,0.003366664017599719,0.003435860342779385,0,0,0
VM CHARGERS VIRGINIA MASON2,98101,Seattle,47.609528000000005,-122.326393,,0.003134935458145855,0.0035241382015625197,0,0,0
DAY 1 REDMOND 1,98052,Redmond,47.672431,-122.094742,,0.0014186488979090564,0.0035368927694119476,0,0,0
MADISON MARQUET STATION 1,98101,Seattle,47.612442,-122.335334,,0.0014949207556578597,0.003542528795260123,0,0,0
KEY CENTER STATION 2,98004,Bellevue,47.616071999999996,-122.19682900000001,,0.0027270718005938375,0.003598871687239877,0,0,0
LINCOLN SQUARE LS NORTH DUAL 2,98004,Bellevue,47.616372,-122.20111100000001,,0.0034515633147729143,0.0036042080543880273,0,0,0
PERMANENTE KP PUYALLUP #2,98374,Puyallup,47.15545,-122.28066000000001,,0.003246771367911941,0.0036229476770718253,0,0,0
PERMANENTE KP PUYALLUP #4,98374,Puyallup,47.155357,-122.28065,,0.0032124394706942853,0.003668825903037934,0,0,0
SOUND TRANSIT ANGLE LAKE #1,98188,Seatac,47.423345,-122.29872399999999,,0.0017967824517856558,0.0036689215429402487,0,0,0
DAY 1 NITRO1,98121,Seattle,47.617429,-122.34103700000001,,0.00197571206837474,0.003669411713267189,0,0,0
KING COUNTY DOT BURIEN P&R #4,98166,Burien,47.469296,-122.33873,,0.003023016848467322,0.0036697234893447337,0,0,0
KING COUNTY DOT BURIEN P&R #3,98166,Burien,47.469348,-122.338746,,0.001356986734805405,0.0036697234893447337,0,0,0
188 BLAINE ATRIUM2,98102,Seattle,47.635115,-122.325799,,0.003140817745417848,0.003674258972898885,0,0,0
TPU TPU HQ #7,98409,Tacoma,47.228592,-122.484299,,0.003435860342779385,0.0036762973697740853,0,0,0
SCH CURE P3 #2,98101,Seattle,47.616929999999996,-122.334,,0.0004871294265901067,0.0036957907766135716,0,0,0
KRC SKYLINE SKYLINE #1,98004,Bellevue,47.614340000000006,-122.19403700000001,,0.0013276613327060157,0.0037017363179134796,0,0,0
DUAL EV STATION 1,98105,Seattle,47.663975,-122.30027199999999,,0.002829274094093222,0.0037760815707401723,0,0,0
"BELLEVUECOLLEGE BC SSC,U BLDG2",98007,Bellevue,47.584536,-122.148517,,0.003042787538589081,0.0038031829257306232,0,0,0
CBRE1 URBAN COM #1,98033,Kirkland,47.677868,-122.19936000000001,,0.0017899380547421859,0.003943936470831522,0,0,0
UNIVERSITYPLACE UP CH #1,98466,University Place,47.226310999999995,-122.536129,,0.002835841440767795,0.004013606790067281,0,0,0
VALLEY MED CTR MAIN LOT #6,98055,Renton,47.443215,-122.212479,,0.0031898659242135257,0.004020696723118411,0,0,0
VALLEY MED CTR MAIN LOT #7,98055,Renton,47.443160999999996,-122.212511,,0.002914245663583888,0.004020696723118411,0,0,0
FACEBOOK SEA FACEBOOK SEA #3,98109,Seattle,47.628558,-122.34294399999999,,0.004006986297122858,0.00403978323688164,0,0,0
DEPT OF ECOLOGY HQ 3,98516,Lacey,47.047753,-122.80651499999999,,0.002788856935833344,0.004046443966669766,0,0,0
ILANI 3C-1 SINGLE,98642,Ridgefield,45.853115,-122.709,,0.0028889451169688556,0.004053889057864601,0,0,0
SCH CURE P2 #3,98101,Seattle,47.616886,-122.33404499999999,,0.0036957907766135716,0.00408656593956704,0,0,0
SCH CURE P2 #4,98101,Seattle,47.616932,-122.33398999999999,,0.0004871294265901067,0.00408656593956704,0,0,0
T-MOBILE PARK ICHIRO,98134,Seattle,47.589652,-122.33293799999998,,0.0033855121334213684,0.0040891527018238625,0,0,0
ILANI 3C-2 DUAL,98642,Ridgefield,45.853092,-122.70891599999999,,0.003575686449933413,0.004131811437488746,0,0,0
CPU EC 1,98663,Vancouver,45.629438,-122.663319,,0.002737638617570663,0.004189338900737818,0,0,0
ILANI 3B-1 DUAL,98642,Ridgefield,45.85314,-122.709076,,0.004053889057864601,0.004220493490557025,0,0,0
