zip,total_pop,median
99160,112,22500
99161,1391,73125
99163,35134,33837
99164,0,33837
99166,3137,42970
99167,527,44063
99169,2501,48899
99170,993,51905
99171,1160,56029
99173,1673,34889
99174,56,34889
99176,150,43906
99179,548,78571
99180,1301,46818
99181,1738,45833
99185,1252,52250
99201,12886,30388
99202,20909,39857
99203,21174,76543
99204,6542,36280
99205,43617,53205
99206,38792,58853
99207,30411,41401
99208,54917,62587
99212,20409,54518
99216,25296,47180
99217,17544,55145
99218,16885,45689
99223,32213,71771
99224,21695,64455
99301,79819,64311
99320,9947,63075
99321,586,63075
99322,242,50625
99323,3904,72536
99324,9737,53083
99326,6394,57747
99328,3715,55048
99329,135,50625
99330,1073,50727
99333,40,50727
99335,292,50769
99336,51980,49973
99337,32411,74158
99338,16553,114429
99341,787,57438
99343,3623,63052
99344,17718,51114
99345,133,51114
99346,548,64479
99347,2241,54688
99348,1402,54722
99349,9251,58024
99350,13488,57973
99352,31918,81410
99353,16150,102021
99354,23742,73369
99356,167,62917
99357,4183,51806
99359,141,35278
99360,1585,85096
99361,1854,69118
99362,41515,56665
99363,350,38011
99371,325,53750
99401,642,67917
99402,1325,55595
99403,20489,53079
